Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
250,C6M 1,52.310000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 6 Meter Simplex 1--Primary",,,
251,C6M 2,52.330000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 6 Meter Simplex 2",,,
252,C6M 3,52.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 6 Meter Simplex 3",,,
253,C6M 4,52.370000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP Clackamas ARES 6 Meter Simplex 4",,,
254,C6M 5,52.390000,,0.000000,,88.5,88.5,023,NN,USB,5.00,,"CLAC ARES SIMP Clackamas ARES 6 Meter Simplex 5",,,
255,N6CALL,52.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"National 6 meter call",,,
256,6MHOOD,52.970000,-,1.700000,Tone,107.2,88.5,023,NN,FM,5.00,,""6 Meter repeater--Timberline",,,
257,6MBALD,52.830000,-,1.700000,Tone,107.2,88.5,023,NN,FM,5.00,,""6 Meter repeater--Bald Peak",,,
258,YELLOW,52.310000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Version Control Channel--Yellow released 2024-05-01",,,
